MessyName_Header	TidierName_Header
AVGfBodyAcc-std()-Y	AVGfBodyAccstdY
AVGfBodyAcc-std()-Z	AVGfBodyAccstdZ
AVGfBodyAccJerk-std()-X	AVGfBodyAccJerkstdX
AVGfBodyAccJerk-std()-Y	AVGfBodyAccJerkstdY
AVGfBodyAccJerk-std()-Z	AVGfBodyAccJerkstdZ
AVGfBodyGyro-std()-X	AVGfBodyGyrostdX
AVGfBodyGyro-std()-Y	AVGfBodyGyrostdY
AVGfBodyGyro-std()-Z	AVGfBodyGyrostdZ
AVGfBodyAccMag-std()	AVGfBodyAccMagstd
AVGfBodyBodyAccJerkMag-std()	AVGfBodyBodyAccJerkMagstd
AVGfBodyBodyGyroMag-std()	AVGfBodyBodyGyroMagstd
AVGfBodyBodyGyroJerkMag-std()	AVGfBodyBodyGyroJerkMagstd
